SKU,QTY,UPC
100830-1117,0,63753048682
100858A-17,0,63753050401
100858B-17,0,63753050364
100859C-17,0,63753049108
100859CG-17,0,63753050210
100859CR-17,0,63753050265
100859D-17,0,63753049092
100859DG-17,0,63753050449
100859DR-17,0,63753050289
100870C-17,0,63753049085
100870CG-17,0,63753050470
100870CR-17,0,63753050456
100870D-17,0,63753049078
100870DG-17,0,63753050487
100870DR-17,0,63753050463
100871C-17,0,63753049276
100871CG-17,0,63753050388
100871CR-17,0,63753050494
100871D-17,0,63753049061
100871DG-17,0,63753050227
100871DR-17,0,63753050500
100872C-17,0,63753049047
100872CG-17,0,63753050296
100872CR-17,0,63753050371
100872D-17,0,63753049054
100872DG-17,0,63753050234
100872DR-17,0,63753050197
100873C-17,0,63753049146
100873CG-17,0,63753050395
100873CR-17,0,63753050418
100873D-17,0,63753049269
100873DG-17,0,63753050173
100873DR-17,0,63753050432
102200-000029,354,63753061223
102201-000001,34,63753061100
104161-000010,19,63753058407
104161-000022,98,63753058391
104162-000010,28,63753058308
104162-000022,1,63753058285
104200-000022,106,63753058377
105160-000009,15,63753059978
105200-000035,34,63753059961
106240-000017,43,63753059541
106240-000035,38,63753059558
106250-000017,20,63753059480
107160-000052,56,63753064675
107420-000035,474,63753059930
107420-000052,449,63753064347
107630-000052,312,63753064309
107700-000052,331,63753064316
107850-000035,243,63753064279
107850-000052,312,63753064293
107851-000035,363,63753064248
107851-000052,331,63753064682
107852-000035,94,63753064743
107852-000052,56,63753064095
108220-000047,17,63753059497
108221-000009,20,63753059817
108221-000047,4,63753059800
109220-000017,30,63753059626
109221-000017,30,63753059596
110160-1117,15,63753052474
110401-1132,1,63753052429
110523-1117,32,63753052627
110611-1117,9,63753052399
110830-1118,3,63753052825
110886-17,9,63753052726
110887-17,9,63753052702
110888-17,1,63753052689
110889-17,1,63753052849
110890-17,1,63753052757
110895-17,9,63753053013
110896-17,9,63753052801
110896-32,14,63753052900
110897-17,9,63753052917
110897-32,2,63753052955
111160-000017,15,63753060110
111160-000047,15,63753060042
111160-001747,30,63753060059
112220-000017,0,63753060028
112220-000047,0,63753060455
112221-000017,0,63753060134
112221-000047,0,63753060448
112240-000017,0,63753060356
112240-000047,0,63753060417
112250-000017,0,63753065382
112250-000047,0,63753065375
114400-000009,30,63753064798
114400-000032,0,63753064804
114400-000047,31,63753064859
114400-000052,24,63753064873
114700-000009,40,63753065061
114700-000032,8,63753064958
114700-000047,26,63753064965
114700-000052,40,63753064989
114850-000009,30,63753064781
114850-000032,0,63753064637
114850-000047,26,63753064651
114850-000052,24,63753064750
114851-000009,20,63753064774
114851-000032,0,63753064811
114851-000047,13,63753064880
114851-000052,20,63753064897
115420-000047,2,63753065047
115420-000052,48,63753065054
115850-000047,2,63753064903
115850-000052,40,63753064910
115851-000047,2,63753064934
115851-000052,20,63753064927
115855-001732,0,63753065580
115855-001735,0,63753065603
115855-003217,0,63753065597
115855-003259,0,63753065566
115855-003517,0,63753065610
115855-003559,0,63753065412
115855-005932,0,63753065573
115855-005935,0,63753065504
120520-1117,31,63753039154
120520-1132,35,63753061551
120611-1132,21,63753061582
120611-1147,6,63753047630
120700-000035,0,63753063982
120810-000035,1,63753063968
120811-32,2,63753057653
120811-47,15,63753045445
120820-1117,30,63753045490
120857-17,3,63753047951
120857-32,14,63753061575
120857-47,6,63753047937
120858-17,3,63753047920
120858-32,14,63753061568
120858-47,3,63753047890
120861-17,30,63753046237
120861-47,39,63753046251
120864-47,3,63753045919
120880-47,31,63753045810
120881-47,30,63753045797
120882-47,31,63753045773
120883-32,2,63753057783
120883-47,15,63753045759
120885-32,3,63753057806
120886-000035,1,63753063753
120886-17,15,63753051088
120895-32,22,63753061520
120895-47,30,63753046060
120896-000035,0,63753063869
120896-17,15,63753051101
130420-000017,36,63753058445
130420-000035,28,63753058452
130850-000017,5,63753058698
130850-000035,3,63753058704
130851-000017,5,63753058728
130851-000035,3,63753058735
130852-000017,5,63753058742
130852-000035,1,63753058759
130853-000017,5,63753058766
130853-000035,1,63753058773
130854-001735,0,63753064941
160400-000031,0,63753060264
160402-47,20,63753053778
160520-1117,4,63753053655
160521-000031,0,63753060431
160610-000031,0,63753048170
160610-1117,144,63753053846
160630-000031,0,63753060332
160634-1117,1,63753053723
160634-1147,36,63753053709
160810-000031,0,63753065290
160820-000031,0,63753060325
160830-000031,0,63753060172
160850-000031,0,63753060202
160851-000031,0,63753060301
160851-4717,9,63753054515
160852-47,14,63753054416
160852-4717,1,63753054393
160853-47,1,63753054454
160853-4717,1,63753054430
160854-47,14,63753057011
160854-4717,1,63753056922
160860-000031,0,63753060165
160861-000031,0,63753060158
160861-4717,9,63753054324
160862-47,20,63753054676
160862-4717,1,63753054652
160863-47,1,63753054027
160863-4717,1,63753054126
160870-000031,0,63753060035
160885-3817,6,63753054546
160885-4717,8,63753054461
160886-3817,6,63753054584
160886-4717,8,63753054591
16200-1147,16,63753052191
16200-1179,64,63753052252
16700-1117,6,63753055086
16700-1147,0,63753052054
16702-1117,10,63753055116
16702-1147,30,63753051996
16850-47,16,63753052344
16850-79,4,63753052337
16852-47,0,63753052283
16853-47,0,63753052269
17164-1117,32,63753055345
175850-000032,0,63753061421
175850-000047,0,63753061445
175850-000052,0,63753061438
175851-000032,0,63753061490
175851-000047,0,63753061414
175851-000052,0,63753061476
175859-000017,0,63753061353
175859-000032,0,63753061391
175859-000047,0,63753061407
175859-000052,0,63753061377
175860-000017,0,63753061360
175860-000032,0,63753059862
175860-000047,0,63753061087
175860-000052,0,63753061315
175869-000017,0,63753061384
175869-000032,0,63753061346
175869-000047,0,63753061339
175869-000052,0,63753059916
175870-000017,0,63753061452
175870-000032,0,63753059893
175870-000047,0,63753061483
175870-000052,0,63753061469
175879-000017,0,63753064224
175879-000032,0,63753064194
175879-000047,0,63753064217
175879-000052,0,63753064125
175880-000017,0,63753064149
175880-000032,0,63753064200
175880-000047,0,63753064064
175880-000052,0,63753064187
17850-17,40,63753057493
17850-32,36,63753058087
182411-000032,0,63753065023
182411-000035,0,63753065085
182421-000032,0,63753065078
182421-000035,0,63753064620
182860-000032,0,63753065115
182860-000035,0,63753065139
182861-000032,0,63753065146
182861-000035,0,63753065030
19420-18,0,63753056960
19420-35,0,63753056977
19850-18,0,63753057202
19850-35,0,63753057219
19851-18,0,63753057158
19851-35,0,63753057189
19852-18,0,63753057042
19852-35,0,63753057097
19853-18,0,63753057523
19853-35,0,63753057479
19854-18,0,63753057585
19854-35,0,63753057592
22160-000035,4,63753057752
22200-000035,11,63753057813
22700-000035,6,63753057868
22851-000035,3,63753058575
22852-000035,3,63753058551
25162-17,3,63753041911
25162-47,50,63753047418
25162-52,0,63753041980
25163-1147,15,63753047357
25680-000017,3,63753064385
25680-000047,2,63753064378
25681-000017,3,63753064361
25681-000047,2,63753064354
25682-000017,3,63753064255
25682-000047,2,63753064484
25690-000017,3,63753064590
25690-000047,2,63753064736
25691-000017,3,63753064729
25691-000047,2,63753064712
25692-000017,3,63753064705
25692-000047,2,63753064699
25720-000017,25,63753059183
25721-000017,62,63753059114
25850-17,1,63753043793
25850-47,15,63753047432
25850-52,0,63753045261
25851-17,0,63753053204
25851-47,0,63753053044
25851-4717,0,63753053051
25851-52,0,63753053075
25852-17,1,63753045278
25852-47,22,63753047425
25852-52,0,63753045285
25853-17,0,63753053105
25853-47,0,63753053099
25853-4717,0,63753053174
25853-52,0,63753053280
25854-17,1,63753045001
25854-47,7,63753047449
25854-52,0,63753045179
25871-17,3,63753044868
25871-47,15,63753047456
25871-4717,14,63753047821
25871-52,0,63753044875
25880-17,3,63753047500
25880-47,50,63753047531
25880-52,0,63753047555
25882-17,3,63753047586
25882-47,15,63753047579
25882-52,0,63753047562
25883-17,0,63753053211
25883-47,0,63753053297
25883-4717,10,63753053273
25883-52,0,63753053266
25884-17,1,63753047609
25884-47,7,63753047593
25884-52,0,63753047616
25885-17,0,63753053259
25885-47,0,63753053242
25885-4717,10,63753053228
25885-52,0,63753053181
25890-17,3,63753045032
25890-47,15,63753047463
25890-4717,14,63753047760
25890-52,0,63753044912
25891-17,0,63753053129
25891-47,0,63753053136
25891-4717,0,63753053143
25891-52,0,63753053150
25892-17,3,63753044943
25892-47,15,63753047487
25892-4717,14,63753047340
25892-52,0,63753044950
25894-17,1,63753044981
25894-47,7,63753047494
25894-4717,7,63753047388
25894-52,0,63753044998
26160-000009,0,63753065269
26160-17,86,63753043748
26160-69,74,63753040228
26161-000009,0,63753064996
26161-1117,181,63753043762
26161-1147,70,63753047333
26161-1169,39,63753040211
26162-000009,0,63753065108
26162-17,0,63753043588
26162-47,9,63753050791
26162-69,87,63753040204
26163-1117,323,63753043595
26163-1147,100,63753047258
26163-1169,50,63753040198
26164-000009,0,63753065252
26164-17,32,63753043601
26164-47,4,63753050814
26165-17,32,63753043625
26165-47,7,63753050821
26166-1117,6,63753043700
26166-1147,2,63753051156
26167-17,0,63753043717
26167-47,3,63753050838
26680-000009,15,63753064552
26680-000017,6,63753064569
26680-000047,17,63753064545
26681-000009,15,63753064521
26681-000017,6,63753064538
26681-000047,17,63753064514
26682-000009,15,63753064491
26682-000017,6,63753064507
26682-000047,17,63753064606
26690-000009,2,63753064613
26690-000017,16,63753064477
26690-000047,1,63753064453
26691-000009,2,63753064439
26691-000017,14,63753064446
26691-000047,1,63753064422
26692-000009,2,63753064408
26692-000017,14,63753064415
26692-000047,1,63753064392
26720-000017,25,63753059121
26720-000069,15,63753059145
26721-000017,62,63753059138
26721-000069,6,63753059152
26783-000017,0,63753059251
26783-000069,6,63753059176
26786-000017,21,63753064460
26786-000069,5,63753064286
26788-000017,0,63753059084
26788-000069,6,63753059190
26793-000017,0,63753059206
26793-000069,15,63753059213
26796-000017,21,63753064583
26796-000069,5,63753064576
26798-000017,0,63753059220
26798-000069,15,63753059237
26853-000009,0,63753065252
26853-17,0,63753044530
26853-47,4,63753050913
26854-17,0,63753044233
26854-47,4,63753050852
26855-17,0,63753044370
26856-000009,0,63753060349
26856-17,43,63753044363
26856-47,16,63753050890
26856-69,19,63753042079
26857-17,0,63753044356
26857-47,4,63753050906
26857-69,25,63753042093
26858-17,0,63753044349
26858-47,3,63753050920
26861-17,30,63753046893
26861-47,2,63753050937
26868-17,0,63753051347
26868-47,9,63753047111
26868-69,48,63753051354
26869-17,0,63753051286
26869-47,9,63753047142
26869-69,6,63753051231
26870-17,0,63753044332
26870-47,9,63753050944
26870-69,50,63753041782
26873-17,0,63753044554
26873-47,3,63753050968
26874-17,0,63753044844
26878-17,6,63753046916
26878-47,2,63753051002
26879-17,0,63753045476
26879-69,6,63753045513
26882-17,0,63753045544
26882-69,6,63753045551
26883-17,0,63753045568
26883-47,4,63753050777
26883-69,6,63753045575
26885-17,43,63753045605
26885-69,6,63753045353
26886-17,43,63753045469
26886-69,6,63753045452
26887-17,6,63753045650
26889-17,0,63753045612
26889-47,2,63753050753
26890-17,0,63753044240
26890-69,39,63753044400
26891-17,86,63753044202
26891-47,32,63753050722
26891-69,39,63753044196
26892-17,0,63753044189
26892-69,39,63753044172
26893-17,0,63753044158
26893-47,4,63753050746
26893-69,43,63753044141
26894-17,0,63753044264
26894-47,4,63753047166
26894-69,25,63753044462
26895-17,43,63753044578
26895-69,37,63753044561
26896-17,43,63753044547
26896-69,19,63753044523
26897-17,6,63753044585
26898-17,0,63753044721
26898-47,9,63753050784
26898-69,48,63753044646
26899-17,0,63753044714
26899-47,2,63753050739
29850-17,8,63753050531
29850-47,0,63753046152
29851-17,12,63753051071
29851-47,48,63753051064
29851-69,16,63753051057
29863-17,0,63753055161
29863-32,0,63753055178
29863-47,0,63753055185
29865-000017,14,63753060783
29865-000032,1,63753060790
29865-000047,30,63753060776
40160-2117,192,63753038577
40160-2132,8,63753055611
40161-2117,0,63753038584
40161-2132,11,63753055772
40164-000035,0,63753065238
40164-17,1,63753038607
40165-17,36,63753038614
40165-32,18,63753055833
40166-000035,0,63753065221
40166-1117,0,63753038621
40169-000035,0,63753065214
40169-3117,93,63753041072
40169-3132,0,63753055765
40170-000035,0,63753065207
40170-1117,0,63753041102
40170-1132,6,63753055819
40171-1117,0,63753042840
40171-1132,44,63753055826
40172-17,10,63753054843
40172-32,17,63753055505
40400-1117,18,63753055277
40400-1132,2,63753055260
40780-000017,62,63753058957
40781-000017,46,63753058971
40790-000017,20,63753058995
40791-000017,20,63753059015
40850-17,160,63753038638
40850-32,8,63753055604
40851-1417,1,63753038645
40852-17,17,63753038652
40853-000035,0,63753065160
40853-17,1,63753041188
40853-32,6,63753055802
40854-17,36,63753041164
40854-32,8,63753055956
40870-17,93,63753041140
40871-17,93,63753041225
40871-32,6,63753055598
40872-17,80,63753042871
40873-17,25,63753042826
40874-17,25,63753042802
40875-17,18,63753042772
40875-32,6,63753055628
40880-17,93,63753042680
40881-17,46,63753042727
40882-17,25,63753042918
40884-17,12,63753042932
40885-17,160,63753042949
40890-17,20,63753044479
40891-17,20,63753044660
40892-17,20,63753044653
40893-17,20,63753044592
40894-17,12,63753044615
40895-17,20,63753044639
40896-17,20,63753044493
42172-17,19,63753053501
42172-32,28,63753053501
42183-32,12,63753053457
42184-32,0,63753053532
42880-32,0,63753058520
42881-32,0,63753058513
42882-32,30,63753058490
42883-32,3,63753055680
42884-32,17,63753055697
42885-32,8,63753055673
42886-32,2,63753055642
42887-32,18,63753058476
42888-32,28,63753053600
42889-32,14,63753053563
42890-32,12,63753058483
42893-32,3,63753055659
42894-32,12,63753055635
42895-32,8,63753055666
42896-32,2,63753055567
42897-32,6,63753058469
42898-32,12,63753053556
42899-32,12,63753053570
44700-000035,0,63753065177
44700-17,0,63753046817
44700-31,20,63753056458
44700-32,20,63753052894
44700-47,0,63753045704
44700-52,0,63753044707
44700-69,0,63753046930
44700-79,0,63753050807
50880-1151,707,63753040440
52850-31,85,63753051040
52850-79,85,63753051033
52851-31,1,63753051149
52851-79,8,63753051095
60400-000035,0,63753060387
60400-2179,1,63753047784
60401-000035,0,63753065306
60401-1179,6,63753047968
60403-1179,0,63753048187
60520-000035,0,63753060196
60520-2179,24,63753042017
60521-000035,0,63753065283
60521-1179,24,63753048019
60612-000035,0,63753060363
60612-1179,60,63753047654
60613-000035,0,63753060219
60613-1179,20,63753047876
60621-000035,0,63753059824
60630-000035,0,63753060318
60630-3179,36,63753047685
60700-3179,9,63753047715
60800-000035,0,63753065368
60800-2179,36,63753047845
60811-000035,0,63753065405
60811-2179,2,63753047777
60820-000035,0,63753065399
60820-1179,24,63753042024
60830-000035,0,63753065313
60830-2179,2,63753047838
60850-79,1,63753049962
60852-000035,0,63753060189
60853-000035,0,63753059756
60853-79,2,63753049863
60857-000035,0,63753060257
60857-79,1,63753049894
60880-000035,0,63753060240
60885-79,2,63753051668
60886-79,2,63753051811
60890-79,2,63753050074
60892-000035,0,63753060233
60892-79,2,63753049986
60893-000035,0,63753060226
60893-79,2,63753049931
60897-000035,0,63753060271
60897-79,2,63753049917
60899-79,1,63753050067
65635-000009,0,63753065658
65635-2132,10,63753053785
65635-2169,16,63753032148
65636-1152,4,63753043687
65642-1118,45,63753051200
65643-1147,7,63753051446
65776-17,3,63753051309
65776-47,11,63753051293
65836-17,36,63753056151
65837-31,7,63753056557
65838-17,80,63753056137
65839-47,14,63753056106
65842-47,7,63753056076
65843-18,45,63753056359
65847-1117,6,63753057066
65847-1120,3,63753056830
65847-1199,0,63753056854
65848-1117,6,63753056861
65848-1120,9,63753056878
65848-1199,8,63753056915
65849-1117,6,63753056939
65849-1120,6,63753056946
65849-1199,3,63753056953
65852-17,36,63753044738
65852-18,59,63753044516
65852-31,7,63753056250
65852-32,14,63753056656
65852-38,6,63753043267
65852-39,20,63753046473
65852-47,8,63753056663
65852-52,12,63753044424
65852-69,0,63753040624
65855-000042,5,63753064019
65855-17,36,63753044783
65855-18,59,63753044790
65855-31,7,63753056267
65855-32,14,63753056670
65855-38,6,63753043250
65855-39,20,63753046312
65855-47,8,63753056687
65855-52,12,63753044776
65855-69,0,63753041379
65857-17,36,63753046305
65857-18,59,63753046572
65857-32,14,63753052962
65857-38,6,63753046589
65857-39,20,63753046619
65857-47,8,63753047999
65857-52,12,63753046596
65857-59,5,63753047135
65857-69,0,63753046565
65857-79,2,63753051620
65862-17,80,63753047036
65862-18,1,63753047067
65862-32,24,63753056694
65862-38,2,63753047074
65862-39,19,63753047012
65862-47,14,63753056700
65862-52,14,63753047104
65865-000042,22,63753064002
65867-38,2,63753046732
65867-39,19,63753046671
65867-52,14,63753046299
65872-47,7,63753056090
65873-18,1,63753056465
65884-18,45,63753056175
65885-47,7,63753056212
65894-18,1,63753056533
65895-47,7,63753056588
65900-000017,0,63753063760
65900-000018,0,63753059749
65900-000042,0,63753063838
65901-000017,0,63753063692
65901-000018,0,63753063586
65901-000042,0,63753063739
69430-000017,4,63753066419
69430-000018,72,63753057714
69431-000017,0,63753060394
69431-000033,0,63753060530
70164-17,25,63753054171
70183-17,1,63753048163
70184-000035,2,63753060592
70184-17,35,63753048095
70720-000017,1,63753058872
70881-17,0,63753053440
70883-000035,2,63753060950
70883-17,35,63753048262
70884-17,25,63753054133
70885-17,0,63753053303
70887-17,0,63753053327
70888-000035,2,63753060882
70888-17,35,63753048064
70889-17,0,63753053341
70891-17,0,63753053365
70893-17,1,63753048040
70894-17,1,63753054072
70898-17,1,63753048279
70899-17,0,63753053396
80160-1147,32,63753048309
80161-000009,50,63753058858
80161-2147,8,63753048323
80162-1147,10,63753048347
80163-000009,1,63753058247
80163-2147,120,63753048361
80165-47,15,63753048408
80166-000009,10,63753060547
80166-47,16,63753048439
80167-000009,15,63753058834
80167-47,19,63753048453
80168-000009,14,63753058612
80168-1147,9,63753048491
80169-000009,72,63753058216
80169-1147,36,63753048514
80171-000009,13,63753062336
80171-1147,3,63753049450
80172-1147,29,63753051323
80173-1147,13,63753051255
80174-47,1,63753056052
80183-000009,40,63753058438
80183-47,4,63753048675
80850-47,19,63753050135
80851-47,10,63753050111
80852-47,19,63753050098
80853-47,10,63753049757
80854-47,10,63753049856
80855-47,10,63753049832
80858-47,4,63753049764
80859-47,1,63753049740
80860-47,19,63753049726
80861-47,8,63753049702
80862-47,10,63753049443
80863-47,8,63753049788
80880-47,3,63753049689
80881-000009,7,63753058780
80881-47,4,63753049542
80882-000009,10,63753060905
80882-47,8,63753049566
80883-000009,7,63753060806
80883-47,9,63753049511
80884-000009,5,63753060813
80884-47,8,63753049504
80885-000009,5,63753060820
80885-47,4,63753049627
80886-000009,7,63753060837
80886-47,9,63753049641
80887-000009,1,63753060844
80887-47,9,63753049474
80888-47,1,63753056229
80890-47,3,63753049672
80891-000009,7,63753058797
80891-47,4,63753049580
80892-000009,10,63753060851
80892-47,4,63753049283
80893-000009,7,63753060868
80893-47,4,63753049344
80894-000009,5,63753060875
80894-47,4,63753049368
80895-000009,5,63753059367
80895-47,4,63753049528
80896-000009,7,63753060899
80896-47,4,63753049467
80897-000009,1,63753061025
80897-47,4,63753049481
80898-47,1,63753056205
85160-17,6,63753056762
85160-31,99,63753051736
85181-17,48,63753055017
85182-17,2,63753054966
85183-31,72,63753051842
85884-17,0,63753055796
85885-17,0,63753055963
85888-17,2,63753056625
85889-17,2,63753056618
85890-31,72,63753051750
85893-31,49,63753053976
85894-17,10,63753055970
85895-17,5,63753055888
85898-17,6,63753056564
85899-17,3,63753056755
88630-1117,8,63753050302
88630-1147,0,63753046022
88700-1147,11,63753046145
88851-47,0,63753046046
88853-47,0,63753046282
92400-000017,15,63753064170
92400-000047,13,63753064101
92400-000052,2,63753063975
92421-000052,0,63753064132
92853-000017,0,63753060554
92853-000047,0,63753058841
92854-000017,0,63753064163
92854-000047,0,63753064118
92854-000052,0,63753063852
92855-000017,0,63753065184
92855-000047,0,63753065337
92855-000052,0,63753065320
93620-000052,20,63753059305
93620-1139,32,63753034869
93620-1159,133,63753034777
93621-000052,40,63753059329
93621-1139,170,63753034876
93621-1159,380,63753034784
93812-000052,32,63753059244
93812-1139,73,63753034890
93812-1159,268,63753034807
93820-000052,39,63753059312
93820-1139,25,63753034906
93820-1159,110,63753034814
93850-000052,20,6.38E+11
93850-39,34,63753036245
93850-59,30,63753036238
93859-000052,30,63753060745
93859-39,58,63753036306
93859-59,16,63753036290
93860-39,58,63753036344
93860-59,16,63753036320
93862-000052,20,63753060677
93862-39,32,63753036375
93862-59,32,63753036351
93863-000052,20,63753060608
93863-39,25,63753036405
93863-59,16,63753036382
93865-000052,20,63753060615
93865-39,25,63753036436
93865-59,30,63753036412
93867-000052,20,63753060622
93867-39,32,63753036467
93867-59,16,63753036443
93879-000052,28,63753060639
93879-39,25,63753038195
93879-59,16,63753038102
93883-000052,8,63753060653
93883-39,5,63753042512
93883-59,7,63753042581
93885-000052,12,63753060585
93885-39,20,63753047081
93885-59,5,63753046992
93886-000052,12,63753060752
93886-39,20,63753047197
93886-59,5,63753047098
99403-000047,1,63753058919
99403-1139,0,63753050159
99403-1152,0,63753050142
99450-1139,0,63753039734
99625-2139,12,63753038010
99700-1139,16,63753037556
99700-1152,16,63753048392
99810-000047,72,63753058681
99810-1139,189,63753034708
99810-1152,45,63753048699
99820-000047,36,63753058803
99820-1139,90,63753034715
99820-1152,21,63753048873
99830-000059,75,63753058810
99830-2139,204,63753034722
99830-2152,52,63753048965
99850-39,145,63753035989
99851-39,100,63753036009
99852-000047,30,63753060578
99852-39,100,63753036023
99852-52,7,63753048781
99853-000047,30,63753060738
99853-39,90,63753036047
99853-52,7,63753048774
99871-000047,36,63753060714
99871-39,90,63753036146
99871-52,7,63753048866
99872-000047,30,63753060707
99872-39,100,63753036177
99872-52,7,63753048804
99885-000047,8,63753060691
99885-39,20,63753046923
99885-52,7,63753048811
99886-000047,8,63753060684
99886-39,20,63753046770
99886-52,7,63753048828
99899-000047,1,63753060660
99899-39,20,63753050050
99899-52,12,63753050043
AC-1069-24,0,63753058292
AC-1069-25,0,63753058179
AC-1070-24,0,63753058186
AC-1070-25,0,63753058193
AC-1092,223,63753064330
AC-1093,192,63753064323
AK-MA01D-17,568,63753057486
AK-MA01D-18,38,63753057530
CHA-FOLD1036-11,62,63753055048
MR-104L,0,7.80E+11
MR-106AL,13,7.80E+11
MR-106L,4,7.80E+11
MR-107L,21,7.80E+11
MR-109L,29,7.80E+11
MR-121E,5,7.80E+11
MR-127L,4,7.80E+11
MR-850,0,63753052122
MR-851,0,63753052207
MR-852,13,63753052160
MR-853,2,63753052139
MR-854,0,63753052153
MR-855,0,63753052306
MR-856,10,63753052184
MR-857,4,63753052214
MR-858,0,63753052221
