Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per items
bestar-lyra-end-table-natural-oak,Bestar Lyra End Table - Available in 2 Colours,"<h4>Description</h4>
<p>items Included</p>
<ul>
<li>Nightstand</li>
</ul>
<meta charset=""utf-8"">
<p><span></span></p>
<h4>Dimensions</h4>
<h4>Specifications</h4>
<ul>
<li>MODERN DESIGN: With its minimalist design, clean architectural lines, as well as use of neutral colors and metal, this end table will give a modern look to any room. </li>
<li>GOOD STORAGE: One 5. 91"" high storage compartments to maximize your storage options. </li>
<li>VERSATILE: This multipurpose small table can be used as an end table, side table, nightstand, sofa table, etc. </li>
<li>STURDY: Strong square metal legs support the table. The top surface can support up to 75 lb. </li>
<li>NOTE: Assembly required. 23. 6"" W x 23. 6"" D x 15. 1- Year limited warranty. Our end table is solid, well-made, and built to last. Its clean, minimalist look and wood legs will automatically make your home feel more modern. Possibilities are endless with this compact product as it can either complement  your bedroom or your living room. Indeed, it can be used as a bedside table, a side table or an end table. The end table’s open area was made to maximize your storage options and reduce clutter, making the room instantly feel more spacious. It is ideal for people who wish to create a modern, organized space for themselves and their guests. Committed to the highest standards in customer service, Bestar has manufactured high-quality furniture in North America since 1948. </li>
</ul>",Pending - Bestar,Nightstand,"Bestar, Brand_Modubox, Made In_Canada, Colour_Natural Oak, Colour_Black Oak",FALSE,Colour,Natural Oak,,,,,104162-000010,18597.272,shopify,1,deny,manual,0,0,TRUE,TRUE,'063753058308,https://bob.bestar.ca/media/2019/03/v117I55b5Z6kss0I9D2M3D1W2cv5I6qd.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,lb,,
bestar-lyra-end-table-natural-oak,,,,,,,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2019/03/AlSleBWHlIzd4xG2uQJ6h03V6KW6PYXt.jpeg,2,,,,,,,,,,,,,,,,,,,,,
bestar-lyra-end-table-natural-oak,,,,,,,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2019/05/5p8PxHDwJwPAA8Z20J0Cvn3912ECk7JG.jpeg,3,,,,,,,,,,,,,,,,,,,,,
bestar-lyra-end-table-natural-oak,,,,,,,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2019/05/s5Fih32n516hEU42WMdZVpl3n57d2WY9.jpeg,4,,,,,,,,,,,,,,,,,,,,,
bestar-lyra-end-table-natural-oak,,,,,,,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2019/03/7O2a6ssY1PrVTX9k5355vEB8ILdgVLzI.jpeg,5,,,,,,,,,,,,,,,,,,,,,
bestar-lyra-end-table-natural-oak,,,,,,,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2019/03/3bwB614Zrv2ynf8z44PWWBV70EDlaSsx.jpeg,6,,,,,,,,,,,,,,,,,,,,,
bestar-lyra-end-table-natural-oak,,,,,,,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2019/03/oSbA9f938P26626du007U025mF26GSul.jpeg,7,,,,,,,,,,,,,,,,,,,,,
bestar-lyra-end-table-natural-oak,,,,,,,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2019/03/Rb2PQ8D4wxelT61BQdMigVAYifndEzJG.jpeg,8,,,,,,,,,,,,,,,,,,,,,
bestar-lyra-end-table-natural-oak,,,,,,,,Black Oak,,,,,104162-000022,18597.272,shopify,1,deny,manual,0,0,TRUE,TRUE,'063753058285,https://bob.bestar.ca/media/2019/03/dJ1WJkxKh6x4HV6SXQExSh2IOfx8U5A5.jpeg,1,,,,,,,,,,,,,,,,,,,lb,,
bestar-lyra-end-table-natural-oak,,,,,,,,,,,,,,,,,,,,,,,,https://bob.bestar.ca/media/2019/03/jeF47L1rOkM9FCZ3p5B3Z60Zx27JpSG8.jpeg,2,,,,,,,,,,,,,,,,,,,,,
