Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
assembled-lateral-file-cabinet,Assembled Lateral File Cabinet - Available in 3 Colours,"<h4>Description</h4>
<p>Items Included</p>
<ul>
<li>Lateral File Cabinet</li>
</ul>
<p>This assembled lateral file cabinet is the perfect complement to any office. Features 2 file drawers with letter/legal filing system. Drawers on ball-bearing slides for smooth and quiet operation. One lock secures both drawers.</p>
<h4>Dimensions</h4>
<p>35.6""W x 19.5""D x 28.4""H</p>
<h4>Specifications</h4>
<ul>
<li>GOOD QUALITY: Made from high-density commercial-grade particle board compliant with CARB phase 2. Durable laminate finish. Finished back. Metal legs and leg levelers.</li>
<li>10-YEAR LIMITED WARRANTY: Warranted to the original owner against defects in materials or workmanship. Surface resists scratches, stains, and wear.</li>
<li>MADE IN CANADA: Excellent customer service. Meets or exceeds ANSI/BIFMA safety and performance standards. Pre-assembled.</li>
</ul>",Modubox,File Cabinet,"Bestar, Brand_Modubox, Colour_Grey, Colour_Oak, Colour_White, Design_2 Drawer, Design_Storage, Made In_Canada, Room_Home Office, Style_Modern, Type_File Cabinet",true,Colour,Bark Grey,,,,,120636-1147,65770.89365,shopify,0,deny,manual,665.99,999.99,true,true,'063753045360,https://cdn.shopify.com/s/files/1/2313/3837/products/pending-bestar-bark-grey-assembled-lateral-file-cabinet-available-in-3-colours-14655671926846.jpg?v=1587823189,1,Pending - Bestar Bark Grey Assembled Lateral File Cabinet -Available in 3 Colours,false,Modubox Assembled Lateral File Cabinet,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2313/3837/products/pending-bestar-bark-grey-assembled-lateral-file-cabinet-available-in-3-colours-14655671926846.jpg?v=1587823189,lb,,
assembled-lateral-file-cabinet,,,,,,,,White,,,,,120636-1117,65770.89365,shopify,-50,deny,manual,665.99,999.99,true,true,'063753039031,https://cdn.shopify.com/s/files/1/2313/3837/products/pending-bestar-white-assembled-lateral-file-cabinet-available-in-3-colours-14655679660094.jpg?v=1587823189,2,Pending - Bestar White Assembled Lateral File Cabinet -Available in 3 Colours,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2313/3837/products/pending-bestar-white-assembled-lateral-file-cabinet-available-in-3-colours-14655679660094.jpg?v=1587823189,lb,,
assembled-lateral-file-cabinet,,,,,,,,Oak Barrel,,,,,120636-1130,65770.89365,shopify,-50,deny,manual,665.99,999.99,true,true,'063753045322,https://cdn.shopify.com/s/files/1/2313/3837/products/pending-bestar-oak-barrel-assembled-lateral-file-cabinet-available-in-3-colours-14655680315454.jpg?v=1587823189,3,Pending - Bestar Oak Barrel Assembled Lateral File Cabinet -Available in 3 Colours,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2313/3837/products/pending-bestar-oak-barrel-assembled-lateral-file-cabinet-available-in-3-colours-14655680315454.jpg?v=1587823189,lb,,
assembled-lateral-file-cabinet,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2313/3837/products/pending-bestar-assembled-lateral-file-cabinet-available-in-3-colours-14655680938046.jpg?v=1587823189,4,Pending - Bestar Assembled Lateral File Cabinet -Available in 3 Colours,,,,,,,,,,,,,,,,,,,,
alga-tv-stand-white-walnut-brown,Alga TV Stand - White & Walnut Brown,"<h4>Description</h4>
<p>Items Included</p>
<ul>
<li>TV Stand</li>
</ul>
<p>This TV stand is solid and built to last. Its clean lines and compact design make it the perfect addition to a modern living room or media room. Thanks to its sleek design, this functional TV stand can be integrated seamlessly into your decor to create a smart entertainment space. The ample storage space lets you organize all your media and A/V devices in order to keep your space tidy. Additionally, an opening at the back facilitates access to electrical outlets.</p>
<h4>Dimensions</h4>
<p>63""W x 15.7""D x 21.8""H</p>
<h4>Specifications</h4>
<ul>
<li>MODERN DESIGN: With its minimalist design, clean architectural lines, as well as use of neutral colours and metal, this TV stand will give a modern look to any room.</li>
<li>GOOD STORAGE: Offers 1 open shelving area, 1 drawer and 2 adjustable shelves behind doors to maximize your storage options.</li>
<li>STURDY: Can support a television weighing up to 100 lb. An opening at the back of the panel is available for efficient cable management and for easier access to electrical outlets.</li>
<li>CONVENIENT: The tapered wood legs come with pads to avoid floor scratches and to allow you to move the tv stand easily.</li>
<li>NOTE: Assembly required. 63″ W x 15.7″ D x 21.7″ H, commercial grade melamine compliant with Carb phase 2, lacquered white MDF finish and solid wood legs. 1- Year limited warranty.</li>
</ul>",Modubox,TV Stand,"Bestar, Brand_Modubox, Colour_Brown, Colour_Walnut, Colour_White, Made In_Canada, Room_Living Room, Style_Modern, Type_TV Stand",true,Title,Default Title,,,,,102162-000001,42637.68278,shopify,170,deny,manual,378.99,649.99,true,true,'063753057929,https://cdn.shopify.com/s/files/1/2313/3837/products/pending-bestar-alga-tv-stand-white-walnut-brown-15909430624318.jpg?v=1597290432,1,Alga TV Stand - White & Walnut Brown,false,Modubox Alga TV Stand - White & Walnut Brown,,,,,,,,,,,,,,,,lb,,
alga-tv-stand-white-walnut-brown,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2313/3837/products/pending-bestar-alga-tv-stand-white-walnut-brown-15909431509054.jpg?v=1596144055,2,Pending - Bestar Alga TV Stand - White & Walnut Brown,,,,,,,,,,,,,,,,,,,,
alga-tv-stand-white-walnut-brown,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2313/3837/products/pending-bestar-bestar-alga-tv-stand-white-walnut-brown-15801137725502.jpg?v=1596144055,3,Pending - Bestar Bestar Alga TV stand - White & Walnut Brown,,,,,,,,,,,,,,,,,,,,
alga-tv-stand-white-walnut-brown,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2313/3837/products/pending-bestar-alga-tv-stand-white-walnut-brown-15909432819774.jpg?v=1596144055,4,Pending - Bestar Alga TV Stand - White & Walnut Brown,,,,,,,,,,,,,,,,,,,,
alga-tv-stand-white-walnut-brown,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2313/3837/products/pending-bestar-alga-tv-stand-white-walnut-brown-15909433442366.jpg?v=1596144055,5,Pending - Bestar Alga TV Stand - White & Walnut Brown,,,,,,,,,,,,,,,,,,,,
alga-tv-stand-white-walnut-brown,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2313/3837/products/pending-bestar-alga-tv-stand-white-walnut-brown-15909434064958.jpg?v=1596144055,6,Pending - Bestar Alga TV Stand - White & Walnut Brown,,,,,,,,,,,,,,,,,,,,
